Hour,Energy Type,0,1,2
66,HEAT,0.0,0.0,0.0
67,HEAT,0.0,0.0,0.0
68,HEAT,0.0,0.0,0.0
69,HEAT,0.0,0.0,0.0
70,HEAT,0.0,0.0,0.0
71,HEAT,0.0,0.0,0.0
72,HEAT,0.0,0.0,0.0
73,HEAT,0.0,0.0,0.0
74,HEAT,0.0,0.0,0.0
75,HEAT,0.0,0.0,0.0
76,HEAT,0.0,0.0,0.0
77,HEAT,0.0,0.0,0.0
78,HEAT,0.0,0.0,0.0
79,HEAT,0.0,0.0,0.0
80,HEAT,0.0,0.0,0.0
81,HEAT,0.0,0.0,0.0
82,HEAT,0.0,0.0,0.0
83,HEAT,0.0,0.0,0.0
84,HEAT,0.0,0.0,0.0
85,HEAT,0.0,0.0,0.0
86,HEAT,0.0,0.0,0.0
87,HEAT,0.0,0.0,0.0
88,HEAT,0.0,0.0,0.0
89,HEAT,0.0,0.0,0.0
90,HEAT,0.0,0.0,0.0
91,HEAT,0.0,0.0,0.0
92,HEAT,0.0,0.0,0.0
93,HEAT,0.0,0.0,0.0
94,HEAT,0.0,0.0,0.0
95,HEAT,0.0,0.0,0.0
96,HEAT,0.0,0.0,0.0
97,HEAT,0.0,0.0,0.0
98,HEAT,0.0,0.0,0.0
99,HEAT,0.0,0.0,0.0
0,EE,0.0,0.0,0.0
1,EE,0.0,0.0,0.0
2,EE,0.0,0.0,0.0
3,EE,0.0,0.0,0.0
4,EE,0.0,0.0,0.0
5,EE,0.0,0.0,0.0
6,EE,0.0,0.0,0.0
7,EE,63.5526794621444,63.66372734955077,0.0
8,EE,65.33983450922042,65.51098163715257,0.0
9,EE,67.33153676523013,67.55331714446069,0.0
10,EE,70.25677877980672,1348.550759488166,0.0
11,EE,70.46997853990847,70.67986394268408,0.0
12,EE,66.86975671583802,67.11867737296608,0.0
13,EE,68.12053247393777,68.40362305641733,0.0
14,EE,1232.9751221016488,69.07916701774126,0.0
15,EE,0.0,0.0,0.0
16,EE,0.0,0.0,0.0
17,EE,0.0,0.0,0.0
18,EE,0.0,0.0,0.0
19,EE,0.0,0.0,0.0
20,EE,0.0,0.0,0.0
21,EE,0.0,0.0,0.0
22,EE,0.0,0.0,0.0
23,EE,0.0,0.0,0.0
24,EE,0.0,0.0,0.0
25,EE,0.0,0.0,0.0
26,EE,0.0,0.0,0.0
27,EE,0.0,0.0,0.0
28,EE,1407.232602,562.8930408,0.0
29,EE,9075.997188,3630.3988752,0.0
30,EE,19.698104286065824,19.727432111267774,0.0
31,EE,24.702823226271338,25.320393806928116,0.0
32,EE,29.686484267946668,30.428646374645332,0.0
33,EE,29.53394009626667,30.27228859867333,0.0
34,EE,31.080103373280004,31.857105957611996,0.0
35,EE,29.800919091280004,30.545942068562,0.0
36,EE,28.685986469786673,29.403136131531337,0.0
37,EE,29.184581930213337,29.914196478468664,0.0
38,EE,29.541647315813336,30.280188498708664,0.0
39,EE,31.340388560320005,32.123898274328,0.0
40,EE,31.814155582853342,32.60950947242466,0.0
41,EE,32.752862315493346,33.571683873380664,0.0
42,EE,33.491368171573335,34.32865237586267,0.0
43,EE,250.57428664569295,35.595505786851994,0.0
44,EE,0.0,0.0,0.0
45,EE,0.0,0.0,0.0
46,EE,0.0,0.0,0.0
47,EE,0.0,0.0,0.0
48,EE,0.0,0.0,0.0
49,EE,0.0,0.0,0.0
50,EE,0.0,0.0,0.0
51,EE,0.0,0.0,0.0
52,EE,0.0,0.0,0.0
53,EE,0.0,0.0,0.0
54,EE,5657.285916000001,2262.9143664000003,0.0
55,EE,17831.591181000003,7132.6364724000005,0.0
56,EE,16825.578471,6730.2313884000005,0.0
57,EE,40600.415781,16240.166312400004,0.0
58,EE,56260.17145799999,22504.068583199998,0.0
59,EE,67692.982797,27077.1931188,0.0
60,EE,75312.88721100001,30125.154884400006,0.0
61,EE,62967.210894,25186.884357600004,0.0
62,EE,59260.372335000015,23704.148934000004,0.0
63,EE,51751.374174,20700.549669599997,0.0
64,EE,36384.485175,14553.79407,0.0
65,EE,27531.997443,11012.7989772,0.0
66,EE,18182.903085,7273.161234000001,0.0
67,EE,8161.402940999999,3264.5611764,0.0
68,EE,0.0,0.0,0.0
69,EE,0.0,0.0,0.0
70,EE,0.0,0.0,0.0
71,EE,0.0,0.0,0.0
72,EE,0.0,0.0,0.0
73,EE,0.0,0.0,0.0
74,EE,0.0,0.0,0.0
75,EE,0.0,0.0,0.0
76,EE,0.0,0.0,0.0
77,EE,0.0,0.0,0.0
78,EE,0.0,0.0,0.0
79,EE,0.0,0.0,0.0
80,EE,0.0,0.0,0.0
81,EE,0.0,0.0,0.0
82,EE,7036.385598,2814.5542391999998,0.0
83,EE,23898.507543,9559.4030172,0.0
84,EE,36146.454687,14458.5818748,0.0
85,EE,39175.325595,15670.130238,0.0
86,EE,30587.800122000004,12235.120048800001,0.0
87,EE,21046.071888000002,8418.4287552,0.0
