hour_idx,HEAT,EE
0,0.000180082164366292,6.27626981285312e-06
1,0.000193512483168463,6.27626981285312e-06
2,0.000199420028153798,6.27626981285312e-06
3,0.00020292164976838,6.27626981285312e-06
4,0.000204320036480179,6.27626981285312e-06
5,0.000206043285672499,6.27626981285312e-06
6,0.000209411418063954,6.27626981285312e-06
7,0.000233034295685348,0.000335436798004915
8,0.000435460280872252,0.000335436798004915
9,0.000426122177945573,0.000335436798004915
10,0.000411225080305184,0.000335436798004915
11,0.000398014364247087,0.000335436798004915
12,0.00038674685631563,0.000335436798004915
13,0.000384017584422865,0.000335436798004915
14,0.000383955336908115,0.000335436798004915
15,0.000380539383486696,0.000335436798004915
16,0.000365862601030859,0.000335436798004915
17,0.00036145157832893,0.000335436798004915
18,0.00016452242929857,6.27626981285312e-06
19,0.000164509160522062,6.27626981285312e-06
20,0.000157212668346339,6.27626981285312e-06
21,0.000158387890291629,6.27626981285312e-06
22,0.000156034151551291,6.27626981285312e-06
23,0.000154810663308236,6.27626981285312e-06
24,0.000153384225144896,6.27626981285312e-06
25,0.000147105154417339,6.27626981285312e-06
26,0.000145241558949746,6.27626981285312e-06
27,0.00014392875141354,6.27626981285312e-06
28,0.000144725501426924,6.27626981285312e-06
29,0.000195661669012438,6.27626981285312e-06
30,0.000156302554878499,6.27626981285312e-06
31,0.000151684841958773,0.000335436798004915
32,0.000295020772892371,0.000335436798004915
33,0.000280991310843479,0.000335436798004915
34,0.000272742761608944,0.000335436798004915
35,0.000271501195781114,0.000335436798004915
36,0.000276502456493721,0.000335436798004915
37,0.000272934669091723,0.000335436798004915
38,0.000288165801501382,0.000335436798004915
39,0.000290447675110436,0.000335436798004915
40,0.000290916534966219,0.000335436798004915
41,0.000293268225522662,0.000335436798004915
42,0.000133571802217724,6.27626981285312e-06
43,0.00012772792956811,6.27626981285312e-06
44,0.000125995062759256,6.27626981285312e-06
45,0.0001258369060119,6.27626981285312e-06
46,0.000125903338971994,6.27626981285312e-06
47,0.000125945816908321,6.27626981285312e-06
48,0.000125989185320264,6.27626981285312e-06
49,0.000126097116543545,6.27626981285312e-06
50,0.000126128195792135,6.27626981285312e-06
51,0.000122400025363764,6.27626981285312e-06
52,0.000117543207294219,6.27626981285312e-06
53,0.000116308498518536,6.27626981285312e-06
54,0.000115669014656922,6.27626981285312e-06
55,0.000127489536798783,0.000335436798004915
56,0.000249219622415267,0.000335436798004915
57,0.000245388952934807,0.000335436798004915
58,0.000247404471400547,0.000335436798004915
59,0.000248436586446192,0.000335436798004915
60,0.000255199121609441,0.000335436798004915
61,0.000250571701995627,0.000335436798004915
62,0.000265232276955461,0.000335436798004915
63,0.000287820011794144,0.000335436798004915
64,0.000310512828214167,0.000335436798004915
65,0.000333249191201241,0.000335436798004915
66,0.000153438368881652,6.27626981285312e-06
67,0.000139829500450763,6.27626981285312e-06
68,0.000135323726164524,6.27626981285312e-06
69,0.00013017490593425,6.27626981285312e-06
70,0.000126364540317583,6.27626981285312e-06
71,0.000132786539909646,6.27626981285312e-06
72,0.000133154859759695,6.27626981285312e-06
73,0.000134521632997518,6.27626981285312e-06
74,0.000135224254849499,6.27626981285312e-06
75,0.000133888382765143,6.27626981285312e-06
76,0.00013498604023528,6.27626981285312e-06
77,0.000142583528825342,6.27626981285312e-06
78,0.000145652089623429,6.27626981285312e-06
79,0.000162339759831863,0.000335436798004915
80,0.000299651932623742,0.000335436798004915
81,0.00028285713259009,0.000335436798004915
