Year,BOILER_COAL_SF_COAL,BOILER_GAS_MF_GAS,BOILER_GAS_SF_GAS,CHP_BIOMASS_KSE,CHP_COAL_KSE,HEAT_PLANT_COAL_DH,HEAT_PLANT_GAS_DH,HEAT_PUMP_MF_HP,HEAT_PUMP_OS_HP,HEAT_PUMP_SF_HP,POWER_PLANT_COAL_KSE,PV_FARM_KSE,PV_MF_BASIC,PV_MF_GAS,PV_MF_HP,PV_OS_BASIC,PV_OS_HP,PV_SF_COAL,PV_SF_GAS,PV_SF_HP
0,200000.0,32000.0,9000.0,1000000.0,1000000.0,1000000.0,1000000.0,36000.0,50000.0,6000.0,1000000.0,100000.0,60000.0,32000.0,100000.0,700000.0,50000.0,300000.0,6000.0,5400.0
1,200000.0,32000.0,9000.0,19394.623293563836,0.0,0.0,0.0,36000.0,50000.0,6000.0,0.0,0.0,60000.0,32000.0,40000.0,270000.0,13999.999999999996,300000.0,6300.0,5400.0
2,200000.0,40000.0,20000.0,13992.713211312715,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,60000.0,40000.0,0.0,120000.0,84000.0,300000.0,14000.0,0.0
