Hour,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,230.5527790035398,31.35924266396721,178.9878542184617
8,1430.8605405295543,363.19588514239155,2171.910501658939
9,2409.7941656556177,637.7132365725515,3818.8283683396803
10,3149.6626118605163,712.1649947915416,4398.8122679162325
11,3289.852845512952,884.3820694253789,5298.728348369285
12,2826.8297527528016,755.1901131924224,4364.552973029818
13,1908.2241302796326,498.0789100663233,2980.6618313093627
14,468.8623686743318,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,777.3449153313803,214.6046850567515,1288.5449960144058
29,5037.821620647254,1407.5729592327991,8446.339060320126
30,6289.700840579289,1758.583477429678,10552.18530035312
31,10208.955814997258,2855.9954623421136,17136.64798941014
32,16922.378568176744,4735.775399328715,28415.317954779348
33,23189.437684276138,6490.723425801104,38944.929333516055
34,32851.02858218226,9196.152187948732,55177.419826209196
35,30263.146857867527,8471.619782855303,50830.19204710957
36,28495.653387317583,7976.858532035043,47861.563233739915
37,21168.655380189546,5925.432445512923,35544.681805233246
38,18895.14413920108,5289.056036078163,31734.59597591078
39,12573.04369431202,3519.0850218955816,21121.364180137243
40,10051.729026988734,2812.5687129032203,16880.07235696412
41,7433.641428517764,2081.0653717218333,12258.146545686703
42,5853.483712099396,1638.0390960151324,9828.204192761692
43,2327.5629623315463,654.3941693413336,3926.409571620565
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,3140.6291767918156,877.7604454159303,5266.836492300755
55,9904.152334506776,2771.5604855052584,16629.630662961536
56,9309.089199260574,2577.053454522337,15451.494596206447
57,22517.440711114035,6275.464614337404,37641.92898621513
58,31217.469187063874,8711.582609021863,52258.5876905443
59,37569.34071983728,10490.31412246143,62930.88386692066
60,41802.49317132763,11675.511197213369,70042.10464936851
61,34944.13022087382,9755.401468005308,58521.342438717955
62,32885.15831966613,9179.145847899428,55063.69386079641
63,28713.492674666122,8009.9324271299765,48055.295577196404
64,20176.332119666127,5511.372492503075,33712.86584479641
65,15257.305860474095,4243.620864699428,25445.265357959455
66,10062.98347252659,2788.0266299375717,16092.730851256303
67,4419.939997029557,1267.8566001535944,7612.706813737241
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,3865.155546423615,1049.0716065306422,6285.251475086868
83,13227.942785448713,3667.2629793253404,21933.729048362282
84,20034.739265340264,5565.685538696384,33490.70405599641
85,21719.06436601402,6054.805243899427,36239.6846917652
86,16949.365478735275,4712.711191672095,27927.6335953197
87,11650.343904420162,3230.2839841420137,19643.0004288
88,8720.757387581567,2409.9272607912453,14449.809064539799
89,4839.150958215651,1257.9102467687321,6807.073773496718
90,857.9502278827113,249.52803086102577,1487.8305407171433
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
