Year,EE_STOR_MF_BASIC,EE_STOR_MF_GAS,EE_STOR_MF_HP,EE_STOR_OS_BASIC,EE_STOR_OS_HP,EE_STOR_SF_GAS,EE_STOR_SF_HP,H_STOR_DH,H_STOR_MF_HP,H_STOR_OS_HP,H_STOR_SF_HP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513767.411726595,2513767.411726595,2513767.411726595
