Year,BOILER_COAL_SF_COAL,BOILER_GAS_MF_GAS,BOILER_GAS_SF_GAS,CHP_BIOMASS_KSE,CHP_COAL_KSE,HEAT_PLANT_COAL_DH,HEAT_PLANT_GAS_DH,HEAT_PUMP_MF_HP,HEAT_PUMP_OS_HP,HEAT_PUMP_SF_HP,POWER_PLANT_COAL_KSE,PV_FARM_KSE,PV_MF_BASIC,PV_MF_GAS,PV_MF_HP,PV_OS_BASIC,PV_OS_HP,PV_SF_COAL,PV_SF_GAS,PV_SF_HP
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.544217687075,0.0
2,0.0,34553.50394125904,47511.06791923118,0.0,0.0,0.0,0.0,0.0,302343.1594860166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302343.1594860166,0.0,34553.50394125904,0.0
