hour_idx,G11,G12
0,0.191142,0.0541199999999999
1,0.191142,0.0541199999999999
2,0.191142,0.0541199999999999
3,0.191142,0.0541199999999999
4,0.191142,0.0541199999999999
5,0.191142,0.0541199999999999
6,0.191142,0.0541199999999999
7,0.191142,0.0541199999999999
8,0.191142,0.0541199999999999
9,0.191142,0.0541199999999999
10,0.191142,0.0541199999999999
11,0.191142,0.0541199999999999
12,0.191142,0.0541199999999999
13,0.191142,0.0541199999999999
14,0.191142,0.0541199999999999
15,0.191142,0.0541199999999999
16,0.191142,0.0541199999999999
17,0.191142,0.0541199999999999
18,0.191142,0.0541199999999999
19,0.191142,0.0541199999999999
20,0.191142,0.0541199999999999
21,0.191142,0.0541199999999999
22,0.191142,0.0541199999999999
23,0.191142,0.0541199999999999
24,0.191142,0.0541199999999999
25,0.191142,0.0541199999999999
26,0.191142,0.0541199999999999
27,0.191142,0.0541199999999999
28,0.191142,0.0541199999999999
29,0.191142,0.0541199999999999
30,0.191142,0.206763
31,0.191142,0.206763
32,0.191142,0.206763
33,0.191142,0.206763
34,0.191142,0.206763
35,0.191142,0.206763
36,0.191142,0.206763
37,0.191142,0.0541199999999999
38,0.191142,0.0541199999999999
39,0.191142,0.206763
40,0.191142,0.206763
41,0.191142,0.206763
42,0.191142,0.206763
43,0.191142,0.206763
44,0.191142,0.206763
45,0.191142,0.206763
46,0.191142,0.0541199999999999
47,0.191142,0.0541199999999999
48,0.191142,0.0541199999999999
49,0.191142,0.0541199999999999
50,0.191142,0.0541199999999999
51,0.191142,0.0541199999999999
52,0.191142,0.0541199999999999
53,0.191142,0.0541199999999999
54,0.191142,0.206763
55,0.191142,0.206763
56,0.191142,0.206763
57,0.191142,0.206763
58,0.191142,0.206763
59,0.191142,0.206763
60,0.191142,0.206763
61,0.191142,0.0541199999999999
62,0.191142,0.0541199999999999
63,0.191142,0.206763
64,0.191142,0.206763
65,0.191142,0.206763
66,0.191142,0.206763
67,0.191142,0.206763
