Year,MF_BASIC,MF_GAS,MF_HP,OS_BASIC,OS_HP,SF_COAL,SF_GAS,SF_HP
0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0
1,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0
2,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0
